arquivo,funcoes,cc_media,cc_max,cc_soma,pior_rank,pior_classe,pior_funcao,pior_linha_ini
cleanlab/internal/neighbor/search.py,1,1.0,1,1,A,,construct_knn,12
cleanlab/experimental/span_classification.py,4,1.25,2,5,A,,_get_pred_prob_token,101
cleanlab/multilabel_classification/rank.py,4,1.25,2,5,A,,_create_multilabel_scorer,37
cleanlab/datalab/datalab.py,28,1.32,4,37,A,Datalab,find_issues,175
cleanlab/__init__.py,5,1.4,2,7,A,,_datalab_import_factory,32
cleanlab/datalab/internal/task.py,5,1.4,3,7,A,Task,from_str,45
cleanlab/internal/neighbor/metric.py,5,1.4,2,7,A,,decide_euclidean_metric,37
cleanlab/datalab/internal/helper_factory.py,8,1.5,2,12,A,,issue_finder_factory,21
cleanlab/datalab/internal/issue_manager/imbalance.py,3,1.67,3,5,A,ClassImbalanceIssueManager,find_issues,41
cleanlab/regression/rank.py,3,1.67,2,5,A,,get_label_quality_scores,22
cleanlab/datalab/internal/display.py,19,1.68,4,32,A,RepresentationStrategy,to_string,55
cleanlab/datalab/internal/model_outputs.py,8,1.75,4,14,A,MultiClassPredProbs,validate,59
cleanlab/internal/multilabel_scorer.py,22,1.82,4,40,A,,exponential_moving_average,134
cleanlab/datalab/internal/issue_manager/noniid.py,17,1.94,8,33,B,NonIIDIssueManager,_build_statistics_dictionary,287
cleanlab/experimental/cifar_cnn.py,5,2.0,5,10,A,CNN,forward,87
cleanlab/internal/multilabel_utils.py,5,2.0,4,10,A,,_is_multilabel,12
cleanlab/internal/numerics.py,1,2.0,2,2,A,,softmax,7
cleanlab/experimental/mnist_pytorch.py,37,2.08,15,77,C,CNN,predict_proba,457
cleanlab/datalab/internal/spurious_correlation.py,6,2.17,5,13,A,SpuriousCorrelations,__post_init__,19
cleanlab/datalab/internal/data.py,29,2.28,7,66,B,MultiLabel,_extract_labels,323
cleanlab/datalab/internal/issue_manager/null.py,6,2.33,5,14,A,NullIssueManager,_most_common_issue,73
cleanlab/experimental/coteaching.py,6,2.33,5,14,A,,train,102
cleanlab/datalab/internal/issue_manager/multilabel/label.py,5,2.4,4,12,A,MultilabelIssueManager,_process_find_label_issues_kwargs,53
cleanlab/internal/neighbor/knn_graph.py,9,2.44,4,22,A,,_configure_num_neighbors,567
cleanlab/datalab/internal/issue_manager/duplicate.py,7,2.57,6,18,B,NearDuplicateIssueManager,_build_statistics_dictionary,154
cleanlab/classification.py,66,2.59,13,171,C,CleanLearning,_process_label_issues_arg,1315
cleanlab/internal/token_classification_utils.py,7,2.71,5,19,A,,filter_sentence,49
